report_text,category,urgency
I noticed uneven tire wear on the front wheels This occurs only when braking hard.,Tire Issue,Medium
The wheels feel loose when cruising,Tire Issue,High
I noticed uneven tire wear on the front wheels This occurs only when braking hard.,Tire Issue,Medium
I noticed uneven tire wear on the front wheels I've been experiencing this for two days.,Tire Issue,Medium
The tire pressure sensor warning keeps flashing This occurs only when braking hard.,Tire Issue,High
One of the tires keeps losing air overnight This issue seems to worsen in cold weather.,Tire Issue,High
The wheels feel loose when cruising,Tire Issue,Medium
One of the tires keeps losing air overnight This occurs only when braking hard.,Tire Issue,High
There is a bulge in the sidewall of the rear tire .,Tire Issue,High
I feel a vibration in the steering wheel at high speeds I've been experiencing this for two days.,Tire Issue,High
I noticed uneven tire wear on the front wheels .,Tire Issue,High
One of the tires keeps losing air overnight This issue seems to worsen in cold weather.,Tire Issue,Medium
I feel a vibration in the steering wheel at high speeds It happens randomly while driving.,Tire Issue,High
Tires thump every time I hit a bump,Tire Issue,High
I noticed uneven tire wear on the front wheels  This happened recently..,Tire Issue,High
Electrical accessories dim when idling This occurs only when braking hard.,Battery Issue,High
Electrical accessories dim when idling This issue seems to worsen in cold weather.,Battery Issue,High
The car struggles to start and cranks slowly,Battery Issue,Medium
Battery warning light appeared on the dashboard .,Battery Issue,Medium
The car struggles to start and cranks slowly  This happened recently..,Battery Issue,Medium
Battery drained overnight without any lights on,Battery Issue,High
Battery drained overnight without any lights on It’s louder at higher RPMs.,Battery Issue,High
I had to jump-start the battery twice this week .,Battery Issue,High
Battery warning light appeared on the dashboard This occurs only when braking hard.,Battery Issue,Medium
I had to jump-start the battery twice this week .,Battery Issue,Medium
Electrical accessories dim when idling This occurs only when braking hard.,Battery Issue,Medium
The car struggles to start and cranks slowly It happens randomly while driving.,Battery Issue,High
Battery drained overnight without any lights on  Noticed this a few days ago..,Battery Issue,Medium
Battery drained overnight without any lights on It happens randomly while driving.,Battery Issue,Medium
Electrical accessories dim when idling It’s louder at higher RPMs.,Battery Issue,High
I had to jump-start the battery twice this week This issue seems to worsen in cold weather.,Battery Issue,High
I had to jump-start the battery twice this week  This happened recently..,Battery Issue,Medium
Battery warning light appeared on the dashboard This occurs only when braking hard.,Battery Issue,High
I had to jump-start the battery twice this week This issue seems to worsen in cold weather.,Battery Issue,High
Battery drained overnight without any lights on  This happened recently..,Battery Issue,Medium
Battery warning light appeared on the dashboard  Noticed this a few days ago..,Battery Issue,High
I had to jump-start the battery twice this week It’s louder at higher RPMs.,Battery Issue,High
The car struggles to start and cranks slowly .,Battery Issue,High
Battery drained overnight without any lights on This issue seems to worsen in cold weather.,Battery Issue,Medium
Electrical accessories dim when idling It’s louder at higher RPMs.,Battery Issue,Medium
I smell burning oil near the engine compartment .,Oil Change,Low
The oil looks dirty and has metal shavings This issue seems to worsen in cold weather.,Oil Change,Low
I smell burning oil near the engine compartment This issue seems to worsen in cold weather.,Oil Change,Medium
The oil change reminder popped up on the dash This issue seems to worsen in cold weather.,Oil Change,Low
I smell burning oil near the engine compartment,Oil Change,Medium
Oil level drops faster than usual between checks It happens randomly while driving.,Oil Change,Medium
I smell burning oil near the engine compartment This issue seems to worsen in cold weather.,Oil Change,Medium
The oil change reminder popped up on the dash .,Oil Change,Low
The oil looks dirty and has metal shavings This occurs only when braking hard.,Oil Change,Medium
Oil level drops faster than usual between checks I've been experiencing this for two days.,Oil Change,Medium
Oil level drops faster than usual between checks  Noticed this a few days ago..,Oil Change,Low
The oil looks dirty and has metal shavings I've been experiencing this for two days.,Oil Change,Low
I smell burning oil near the engine compartment This issue seems to worsen in cold weather.,Oil Change,Low
Oil level drops faster than usual between checks This issue seems to worsen in cold weather.,Oil Change,Medium
The oil looks dirty and has metal shavings This occurs only when braking hard.,Oil Change,Low
The oil looks dirty and has metal shavings It happens randomly while driving.,Oil Change,Medium
The oil looks dirty and has metal shavings I've been experiencing this for two days.,Oil Change,Medium
Engine makes knocking noise indicating low oil I've been experiencing this for two days.,Oil Change,Low
The oil looks dirty and has metal shavings  This happened recently..,Oil Change,Low
Oil level drops faster than usual between checks It’s louder at higher RPMs.,Oil Change,Medium
I smell burning oil near the engine compartment It happens randomly while driving.,Oil Change,Medium
I smell burning oil near the engine compartment This issue seems to worsen in cold weather.,Oil Change,Medium
Oil level drops faster than usual between checks This occurs only when braking hard.,Oil Change,Medium
I smell burning oil near the engine compartment I've been experiencing this for two days.,Oil Change,Medium
Engine makes knocking noise indicating low oil,Oil Change,Low
Power windows operate very slowly This issue seems to worsen in cold weather.,Electrical Issue,Medium
Power windows operate very slowly .,Electrical Issue,Low
Dashboard lights are dim even at full brightness .,Electrical Issue,Low
Interior lights stay on after locking the car .,Electrical Issue,Medium
Interior lights stay on after locking the car It’s louder at higher RPMs.,Electrical Issue,Low
The headlights flicker intermittently I've been experiencing this for two days.,Electrical Issue,Medium
The headlights flicker intermittently .,Electrical Issue,Low
Power windows operate very slowly  Noticed this a few days ago..,Electrical Issue,Low
Power windows operate very slowly It’s louder at higher RPMs.,Electrical Issue,Medium
Interior lights stay on after locking the car This occurs only when braking hard.,Electrical Issue,Low
Power windows operate very slowly I've been experiencing this for two days.,Electrical Issue,Medium
The radio and infotainment turn off randomly I've been experiencing this for two days.,Electrical Issue,Low
Dashboard lights are dim even at full brightness It happens randomly while driving.,Electrical Issue,Low
Power windows operate very slowly This issue seems to worsen in cold weather.,Electrical Issue,Medium
Interior lights stay on after locking the car This issue seems to worsen in cold weather.,Electrical Issue,Low
The radio and infotainment turn off randomly This issue seems to worsen in cold weather.,Electrical Issue,Low
Power windows operate very slowly I've been experiencing this for two days.,Electrical Issue,Low
Interior lights stay on after locking the car,Electrical Issue,Low
Power windows operate very slowly It happens randomly while driving.,Electrical Issue,Low
Dashboard lights are dim even at full brightness It happens randomly while driving.,Electrical Issue,Medium
The radio and infotainment turn off randomly I've been experiencing this for two days.,Electrical Issue,Low
The headlights flicker intermittently .,Electrical Issue,Medium
The headlights flicker intermittently It’s louder at higher RPMs.,Electrical Issue,Low
Dashboard lights are dim even at full brightness It happens randomly while driving.,Electrical Issue,Medium
Power windows operate very slowly,Electrical Issue,Low
Transmission fluid leak under the car It’s louder at higher RPMs.,Transmission Issue,High
Gears grind loudly when shifting manually It happens randomly while driving.,Transmission Issue,High
I notice a delay in acceleration after shifting gears This occurs only when braking hard.,Transmission Issue,High
There is a burning smell when the car is in gear .,Transmission Issue,High
Transmission fluid leak under the car I've been experiencing this for two days.,Transmission Issue,High
Transmission fluid leak under the car I've been experiencing this for two days.,Transmission Issue,High
Gears grind loudly when shifting manually  This happened recently..,Transmission Issue,High
Gears grind loudly when shifting manually It’s louder at higher RPMs.,Transmission Issue,High
Transmission fluid leak under the car It happens randomly while driving.,Transmission Issue,High
Transmission fluid leak under the car,Transmission Issue,High
The car jerks when shifting from park to drive It’s louder at higher RPMs.,Transmission Issue,High
I notice a delay in acceleration after shifting gears It happens randomly while driving.,Transmission Issue,High
There is a burning smell when the car is in gear,Transmission Issue,High
Transmission fluid leak under the car It happens randomly while driving.,Transmission Issue,High
The car jerks when shifting from park to drive I've been experiencing this for two days.,Transmission Issue,High
Transmission fluid leak under the car It’s louder at higher RPMs.,Transmission Issue,High
Transmission fluid leak under the car  This happened recently..,Transmission Issue,High
There is a burning smell when the car is in gear This issue seems to worsen in cold weather.,Transmission Issue,High
There is a burning smell when the car is in gear It happens randomly while driving.,Transmission Issue,High
Transmission fluid leak under the car I've been experiencing this for two days.,Transmission Issue,High
Gears grind loudly when shifting manually This issue seems to worsen in cold weather.,Transmission Issue,High
The car jerks when shifting from park to drive This occurs only when braking hard.,Transmission Issue,High
Gears grind loudly when shifting manually It happens randomly while driving.,Transmission Issue,High
The car jerks when shifting from park to drive This occurs only when braking hard.,Transmission Issue,High
There is a burning smell when the car is in gear,Transmission Issue,High
Radiator fan doesn’t turn on when the engine overheats It’s louder at higher RPMs.,Cooling System Issue,Medium
I see steam coming from under the hood when parked  Noticed this a few days ago..,Cooling System Issue,High
Radiator fan doesn’t turn on when the engine overheats .,Cooling System Issue,Medium
Coolant level drops overnight without visible leaks  This happened recently..,Cooling System Issue,High
I see steam coming from under the hood when parked .,Cooling System Issue,High
Temperature gauge moves into the red zone quickly,Cooling System Issue,Medium
Radiator fan doesn’t turn on when the engine overheats  This happened recently..,Cooling System Issue,High
Temperature gauge moves into the red zone quickly This occurs only when braking hard.,Cooling System Issue,Medium
Coolant level drops overnight without visible leaks This occurs only when braking hard.,Cooling System Issue,Medium
Temperature gauge moves into the red zone quickly  This happened recently..,Cooling System Issue,Medium
Coolant level drops overnight without visible leaks This occurs only when braking hard.,Cooling System Issue,High
There's a sweet smell indicating coolant leak I've been experiencing this for two days.,Cooling System Issue,High
I see steam coming from under the hood when parked  This happened recently..,Cooling System Issue,Medium
Radiator fan doesn’t turn on when the engine overheats This issue seems to worsen in cold weather.,Cooling System Issue,Medium
Radiator fan doesn’t turn on when the engine overheats It happens randomly while driving.,Cooling System Issue,Medium
Radiator fan doesn’t turn on when the engine overheats It happens randomly while driving.,Cooling System Issue,Medium
Temperature gauge moves into the red zone quickly This issue seems to worsen in cold weather.,Cooling System Issue,Medium
Radiator fan doesn’t turn on when the engine overheats  This happened recently..,Cooling System Issue,High
Temperature gauge moves into the red zone quickly This issue seems to worsen in cold weather.,Cooling System Issue,Medium
There's a sweet smell indicating coolant leak  Noticed this a few days ago..,Cooling System Issue,High
Coolant level drops overnight without visible leaks It happens randomly while driving.,Cooling System Issue,Medium
Coolant level drops overnight without visible leaks This issue seems to worsen in cold weather.,Cooling System Issue,High
Coolant level drops overnight without visible leaks I've been experiencing this for two days.,Cooling System Issue,High
Temperature gauge moves into the red zone quickly I've been experiencing this for two days.,Cooling System Issue,Medium
Temperature gauge moves into the red zone quickly This issue seems to worsen in cold weather.,Cooling System Issue,Medium
Coolant warning light is on,Cooling System Issue,High
Coolant warning light is on,Cooling System Issue,High
Temperature gauge spikes into the red zone,Cooling System Issue,High
Coolant warning light is on,Cooling System Issue,High
Steam visible from under the hood,Cooling System Issue,High
There is a musty smell in the cabin,Cabin Comfort Issue,Low
There is a musty smell in the cabin,Cabin Comfort Issue,Low
The heater is not warming up properly,Cabin Comfort Issue,Low
Cabin fan speed fluctuates unexpectedly,Cabin Comfort Issue,Low
There is a musty smell in the cabin,Cabin Comfort Issue,Low
Tire pressure drops and radiator fan doesn't start,Multi-Symptom,Medium
Engine heats up and AC stops working intermittently,Multi-Symptom,Medium
Temperature spikes and tires wear unevenly,Multi-Symptom,Medium
Temperature spikes and tires wear unevenly,Multi-Symptom,Medium
Brakes feel soft and battery drains overnight,Multi-Symptom,Medium
The engine idles rough and I feel a vibration in the steering,Multi-Symptom,Medium
Tire pressure drops and radiator fan doesn't start,Multi-Symptom,Medium
Steering wheel shakes and check engine light flickers,Multi-Symptom,Medium
Temperature spikes and tires wear unevenly,Multi-Symptom,Medium
Brakes feel soft and battery drains overnight,Multi-Symptom,Medium
Cabin fan speed fluctuates unexpectedly,Cabin Comfort Issue,Low
Cabin fan speed fluctuates unexpectedly,Cabin Comfort Issue,Low
Windows fog up inside the cabin,Cabin Comfort Issue,Low
The heater is not warming up properly,Cabin Comfort Issue,Low
There is a musty smell in the cabin,Cabin Comfort Issue,Low
Cabin fan speed fluctuates unexpectedly,Cabin Comfort Issue,Low
The AC isn't blowing cold air,Cabin Comfort Issue,Low
There is a musty smell in the cabin,Cabin Comfort Issue,Low
The AC isn't blowing cold air,Cabin Comfort Issue,Low
There is a musty smell in the cabin,Cabin Comfort Issue,Low
The AC isn't blowing cold air,Cabin Comfort Issue,Low
The AC isn't blowing cold air,Cabin Comfort Issue,Low
There is a musty smell in the cabin,Cabin Comfort Issue,Low
There is a musty smell in the cabin,Cabin Comfort Issue,Low
The AC isn't blowing cold air,Cabin Comfort Issue,Low
There is a musty smell in the cabin,Cabin Comfort Issue,Low
Windows fog up inside the cabin,Cabin Comfort Issue,Low
The AC isn't blowing cold air,Cabin Comfort Issue,Low
The heater is not warming up properly,Cabin Comfort Issue,Low
The AC isn't blowing cold air,Cabin Comfort Issue,Low
The car shakes and the oil pressure gauge drops,Multi-Symptom,Medium
The engine idles rough and I feel a vibration in the steering,Multi-Symptom,Medium
The car shakes and the oil pressure gauge drops,Multi-Symptom,Medium
Engine heats up and AC stops working intermittently,Multi-Symptom,Medium
The car shakes and the oil pressure gauge drops,Multi-Symptom,Medium
Temperature spikes and tires wear unevenly,Multi-Symptom,Medium
Temperature spikes and tires wear unevenly,Multi-Symptom,Medium
Brakes squeal and there's a burning smell under the hood,Multi-Symptom,Medium
Transmission slips and stereo cuts out randomly,Multi-Symptom,Medium
The car shakes and the oil pressure gauge drops,Multi-Symptom,Medium
The engine idles rough and I feel a vibration in the steering,Multi-Symptom,Medium
Temperature spikes and tires wear unevenly,Multi-Symptom,Medium
Engine heats up and AC stops working intermittently,Multi-Symptom,Medium
Brakes squeal and there's a burning smell under the hood,Multi-Symptom,Medium
The engine idles rough and I feel a vibration in the steering,Multi-Symptom,Medium
