vehicle_id,vehicle_type,make,year,total_km,avg_daily_km,last_oil_change_km,days_since_oil_change,last_oil_filter_change_km,days_since_oil_filter_change,last_fuel_filter_change_km,days_since_fuel_filter_change,last_fuel_pump_change_km,days_since_fuel_pump_change,last_battery_change_km,days_since_battery_change,last_spark_plugs_change_km,days_since_spark_plugs_change,last_shock_absorbers_change_km,days_since_shock_absorbers_change,last_brake_fluid_change_km,days_since_brake_fluid_change,last_brake_pads_change_km,days_since_brake_pads_change,last_tires_change_km,days_since_tires_change,last_coolant_change_km,days_since_coolant_change,last_water_pump_change_km,days_since_water_pump_change,last_radiator_change_km,days_since_radiator_change,last_transmission_fluid_change_km,days_since_transmission_fluid_change,driving_condition,target_days_to_next_maintenance
11,Bus,Scania,2002,1762299,256,1760276,8,1760763,6,1712970,193,1616771,568,1665654,377,1745154,66,1754303,31,1744891,68,1727249,137,1710468,202,1708407,211,1738330,94,1751283,43,1698032,251,Urban,59
12,Truck,Mercedes,2019,209011,116,208197,6,207575,13,182490,229,48218,1387,199411,83,144922,552,191287,153,173699,305,175812,285,176177,282,205907,26,197593,99,131182,671,208464,4,Highway,80
13,Bus,Mercedes,2017,578469,240,571103,30,569044,38,546347,133,410330,700,491609,362,562940,65,559102,81,560177,76,548729,124,523201,231,515673,261,498685,332,576415,8,503848,311,Urban,74
14,Bus,Volvo,2015,520713,176,514010,38,520273,2,490228,172,405553,655,422483,559,500121,117,456825,363,488127,185,493380,156,515658,29,509728,62,499639,119,515392,31,452922,385,Highway,83
15,Car,Hyundai,2000,1155161,154,1153688,9,1149745,36,1113867,268,1142413,82,1045703,711,1153281,12,1133578,140,1125070,196,1121983,215,1149790,35,1091259,415,1119103,235,983941,1113,1102758,340,Urban,61
16,Truck,MAN,2015,378982,125,377996,8,370392,67,359733,154,297604,652,308793,562,368852,81,363840,121,370693,66,340935,305,349244,238,355238,191,352336,213,366395,100,358002,168,Highway,49
17,Car,Toyota,2010,295231,64,290616,72,293821,24,276095,299,115927,2799,188614,1667,287452,120,225714,1088,237795,897,250346,703,294840,4,227903,1052,256039,614,157062,2159,206859,1376,Mixed,68
18,Truck,Mercedes,2014,422923,127,419678,26,422727,2,403290,155,361823,481,325457,768,397901,197,413772,72,403220,155,386962,283,373557,390,346525,602,386175,290,287131,1070,368011,431,Highway,71
19,Truck,Scania,2024,33189,132,26581,50,30106,24,5078,213,21353,91,27925,39,25277,59,0,413,0,362,0,335,5206,214,0,392,23928,71,9280,182,0,652,Highway,74
20,Truck,Mercedes,2012,1146863,293,1144267,9,1137674,31,1134624,42,1041326,360,1055475,312,1119172,94,1064390,282,1140193,23,1108980,129,1111785,120,1067685,270,1042851,355,1116995,102,1118162,98,Highway,84
21,Car,Ford,2016,247767,92,242516,55,242908,53,215581,349,90420,1708,220318,299,180642,729,165306,896,242198,61,212372,385,209033,420,182445,709,238966,96,221837,282,210852,402,Highway,33
22,Car,BMW,2015,149271,50,140200,184,144834,89,120438,571,62830,1729,148599,16,75712,1468,103361,916,95810,1070,111869,750,117131,643,135592,276,103081,923,97776,1029,59501,1795,Urban,82
23,Bus,MAN,2017,897239,375,894191,8,888143,24,874413,61,799485,261,800739,257,884469,34,839918,153,851394,122,863043,92,888615,23,885671,31,824131,195,880359,45,814539,220,Urban,32
24,Truck,Scania,2008,1152001,224,1151996,0,1149115,12,1112305,177,975819,786,1120096,143,1123636,127,1071205,361,1146823,22,1146399,25,1102620,220,1077090,334,1144390,34,1040503,498,1083750,305,Urban,80
25,Truck,MAN,2017,683495,286,682954,1,680681,10,651401,112,521883,565,583388,350,673641,34,594092,312,668611,52,655995,96,636727,164,616238,235,602732,282,530515,535,635301,169,Highway,64
26,Bus,MAN,2013,998034,276,993378,17,988445,35,971190,97,914809,302,930981,243,964255,122,967534,110,983785,52,969246,104,981972,58,970217,101,936566,223,849115,540,991461,24,Mixed,41
27,Car,Honda,2007,273283,50,270754,52,266709,131,229065,881,200312,1460,212603,1214,207916,1307,215783,1150,239378,679,239295,681,230897,847,198686,1493,238269,703,170394,2058,188835,1691,Urban,38
28,Car,Toyota,2018,351187,171,344305,40,341835,54,331814,113,311616,232,274731,448,282174,403,283199,398,296917,317,324562,156,311868,230,282613,400,288327,367,190339,939,290224,355,Highway,49
29,Car,Toyota,2025,1390,195,0,45,0,22,0,245,0,765,0,358,0,130,0,412,0,68,0,223,0,132,0,196,0,79,0,357,0,201,Mixed,79
30,Truck,MAN,2008,608975,120,607612,11,602964,50,596567,105,516167,774,569012,332,552300,471,578423,255,588317,173,574456,288,590620,152,545426,530,540797,568,456610,1270,573381,297,Urban,73
31,Bus,Mercedes,2019,302174,168,294347,47,294558,44,271637,182,179669,729,279085,137,236103,393,277093,149,255431,278,288457,81,298894,21,229117,434,188222,678,162942,829,236698,389,Mixed,77
32,Truck,Volvo,2012,916768,238,909001,33,911994,20,874813,176,753166,687,803464,476,891457,106,831718,358,908753,34,869881,197,881058,150,853021,267,834320,346,864401,220,903954,54,Mixed,82
33,Bus,Iveco,2005,2133897,355,2126144,22,2126984,20,2105080,81,2004417,365,2040577,263,2080564,150,2057226,216,2107211,75,2089099,126,2117568,46,2119011,42,2056938,217,1968191,467,2094701,110,Mixed,35
34,Truck,Volvo,2021,297371,250,297060,1,294026,13,275802,86,202028,382,245501,207,281990,62,258620,155,262657,139,260630,147,239614,231,262830,138,229061,274,172620,499,296934,1,Urban,44
35,Bus,Iveco,2022,267640,299,262561,17,258981,29,265418,8,198160,233,264725,10,208535,197,211779,187,251526,54,266586,3,248812,63,231729,120,171964,320,170744,324,213239,182,Urban,43
36,Car,Hyundai,2025,0,114,0,28,0,8,0,107,0,201,0,73,0,136,0,360,0,329,0,402,0,84,0,311,0,577,0,660,0,49,Highway,58
37,Car,Toyota,2011,669878,160,664026,36,666089,24,624964,280,636072,211,577137,580,652690,107,623443,290,625218,279,635611,215,655821,88,592969,480,572520,609,543470,790,665720,26,Highway,60
38,Truck,Ford,2014,860412,262,854610,23,858776,7,823831,140,732767,487,753217,409,819424,157,813820,178,828030,123,858886,6,817213,165,841143,74,829909,116,704526,595,833956,101,Highway,31
39,Bus,Iveco,2011,1578832,378,1570096,23,1570767,21,1551542,72,1550075,76,1568011,29,1556685,59,1490387,234,1552618,69,1562503,43,1535369,115,1515684,167,1555851,61,1404955,460,1516149,166,Urban,52
40,Bus,Volvo,2019,594611,328,586557,24,586646,24,591433,10,453146,431,558355,111,534216,184,512574,250,550108,136,583223,35,568365,80,521733,222,539437,168,462458,403,574619,61,Mixed,80
41,Car,BMW,2011,604694,143,596123,59,596852,54,591696,91,526159,550,565699,273,563863,286,557436,330,585806,132,557858,327,557690,329,557466,331,602987,12,578104,186,566669,266,Urban,67
42,Truck,Volvo,2001,766644,106,758770,75,765419,10,766294,4,618741,1396,754010,118,722780,414,755178,107,758781,75,738629,265,737529,274,721801,424,653964,1064,609016,1488,705250,579,Urban,42
43,Truck,MAN,2015,596412,197,590380,31,590281,31,579159,88,526443,356,501696,481,539928,287,551532,228,573677,116,573363,117,594782,8,523058,372,520631,385,586531,50,507874,449,Urban,81
44,Truck,Scania,2010,453005,101,451571,14,450544,24,452764,2,408616,440,409956,428,418433,342,387875,644,448831,41,413671,390,436290,165,449021,39,427253,253,440500,124,424235,286,Mixed,77
45,Bus,MAN,2020,562690,374,554162,23,556580,16,538802,64,488755,198,501034,165,517750,120,553259,25,550368,33,559456,9,528213,92,507385,148,463957,264,438536,332,479193,223,Highway,77
46,Car,Toyota,2003,621906,95,619114,28,617101,50,621630,4,597199,261,582751,411,593150,302,545817,799,591549,319,615594,68,565077,598,589533,341,613165,93,474793,1548,585266,385,Mixed,80
47,Truck,Volvo,2022,122865,144,114459,59,122736,1,86970,249,13608,759,68041,381,112578,71,58522,447,91947,215,113767,63,80329,295,104150,131,22925,693,5410,816,113947,61,Highway,81
48,Bus,Mercedes,2004,1251399,199,1247299,21,1249829,8,1204336,236,1071910,902,1169610,410,1197860,269,1175058,383,1191831,299,1224826,134,1232729,94,1210379,206,1205582,230,1134861,585,1210657,205,Mixed,68
49,Truck,Scania,2003,1162538,177,1162098,3,1161714,4,1115223,267,1000463,915,1133654,163,1154012,49,1129981,184,1121309,233,1129378,187,1153773,49,1134866,156,1156302,35,1088781,417,1118492,249,Urban,32
50,Truck,Ford,2022,172087,201,167218,24,162829,46,145679,131,165224,34,89644,410,117844,270,170881,6,149164,114,131319,203,133063,194,165605,32,162967,45,39763,659,121598,251,Mixed,39
51,Bus,Volvo,2012,736588,186,734121,13,730102,35,709593,145,698623,204,635275,544,658750,419,657552,425,678535,312,697734,209,709447,146,682640,290,655483,436,695772,219,723308,72,Mixed,65
52,Truck,Ford,2011,998814,238,998760,0,997698,4,991370,32,951498,199,985663,55,939620,248,983028,66,975979,96,968198,128,989422,39,930190,289,976542,94,886012,474,963910,147,Urban,35
53,Truck,Scania,2000,1481829,197,1474243,38,1478441,18,1435073,236,1384482,495,1407221,378,1421819,305,1437771,224,1447001,177,1449694,163,1422299,302,1441505,204,1391535,458,1355678,641,1406610,382,Highway,51
54,Car,Hyundai,2012,498096,129,490016,63,494164,31,488470,75,391153,828,427187,549,443639,421,422749,584,443872,420,491505,50,490374,60,464392,261,454583,336,465285,254,485881,94,Highway,53
55,Truck,MAN,2009,1191305,247,1184406,28,1184656,27,1176505,60,1187111,18,1167766,96,1121416,282,1179779,47,1155136,147,1160608,124,1141925,200,1123826,273,1161709,120,1156827,140,1105201,349,Mixed,68
56,Truck,Mercedes,2011,998741,237,994964,16,995398,14,996303,10,989562,39,914941,353,934207,272,914027,357,950316,204,964329,146,951789,198,962486,153,956287,179,978062,87,912702,363,Urban,48
57,Truck,Scania,2016,274907,100,267847,71,270388,45,228664,463,171387,1036,174307,1007,236608,383,223449,514,265363,95,254463,203,251879,229,219469,554,182867,920,255217,196,252917,220,Mixed,39
58,Car,Toyota,2006,499498,90,490470,100,491784,85,492137,83,452651,519,489108,115,496193,37,456044,483,448128,572,482632,189,488394,126,435842,709,449190,559,359382,1557,449344,557,Urban,50
59,Bus,Iveco,2009,1052343,219,1043933,38,1044171,37,1050061,10,960656,418,1036600,72,999268,243,1050282,10,1024949,125,1002916,226,1001846,230,973570,360,1008769,199,994027,267,967887,385,Urban,56
60,Bus,Mercedes,2014,1134485,346,1133690,2,1125486,26,1102928,91,963277,495,1110451,70,1110273,70,1063034,207,1112448,64,1126485,23,1122068,36,1059486,217,1130126,13,1076694,167,1121983,36,Highway,42
61,Car,BMW,2015,546049,184,536824,51,536531,52,542028,22,467113,429,521867,133,518118,152,481320,352,535703,56,501563,242,538931,39,515194,168,462690,454,366453,976,532911,71,Mixed,60
62,Truck,Volvo,2002,823425,120,821482,16,822897,5,795354,234,704913,987,707887,963,761904,513,767023,471,807165,135,820053,28,794778,238,769678,448,800703,188,780762,356,745439,650,Mixed,87
63,Car,Toyota,2011,221629,53,215239,122,212779,168,201461,379,174195,896,188428,630,219188,46,192809,542,181501,756,193838,525,169808,980,182587,737,190086,595,80929,2655,163779,1093,Urban,52
64,Truck,Volvo,2019,255532,141,248962,47,255281,1,238839,118,164564,645,184320,504,252838,19,185030,500,201604,383,218961,259,240998,104,190828,459,220152,251,201100,388,169449,610,Urban,35
65,Truck,MAN,2017,515714,212,509189,31,511560,19,497707,85,365427,709,502270,63,452374,298,429551,407,488045,130,467167,230,515817,0,507158,40,420631,449,514442,6,470489,213,Urban,47
66,Truck,Ford,2010,942092,211,932403,46,936654,26,900013,200,846537,453,840406,481,875158,317,876789,309,908342,160,926509,74,920424,103,869544,344,927049,72,806539,642,899793,200,Mixed,62
67,Truck,Mercedes,2021,176413,150,171911,30,173990,16,141179,236,80107,642,124293,348,128401,320,154639,145,118756,384,173747,18,143847,217,137989,256,112682,426,47129,862,134613,278,Mixed,74
68,Car,Honda,2007,353938,66,347931,89,347050,104,308907,682,331388,343,322526,479,279473,1129,270407,1264,299120,832,313076,620,322289,480,293518,916,321048,500,292671,931,282098,1091,Urban,30
69,Car,Toyota,2019,277154,151,272374,32,275579,11,252902,159,142177,893,255625,143,203908,484,243368,223,251836,168,262080,99,236130,271,273019,28,228666,321,120900,1034,238698,255,Highway,65
70,Truck,Ford,2019,240829,133,239860,8,233052,59,228363,94,128112,848,164361,575,168292,544,210819,225,223338,131,225626,115,211917,217,230194,81,193637,355,200731,302,158993,615,Urban,84
71,Car,Toyota,2021,184318,152,174593,64,183539,6,141001,285,182184,14,117368,441,137268,310,104056,528,170510,90,161855,148,169822,96,153576,202,73396,730,87769,636,97436,571,Mixed,63
72,Bus,Scania,2011,1084561,258,1075531,35,1079966,18,1073203,44,1037464,182,1022698,240,1067311,67,1082589,8,1073480,43,1043495,159,1056827,107,1067362,67,974379,427,981357,401,1011090,284,Urban,35
73,Bus,Mercedes,2013,599693,167,593557,37,597471,14,556851,255,588516,67,497032,615,598465,7,562675,222,559552,241,579688,120,543210,338,585200,86,571446,169,596733,17,560778,233,Highway,51
74,Car,Ford,2021,133255,113,130239,28,130983,21,124296,80,129654,33,114410,166,105964,241,102070,276,85635,421,119639,120,98952,303,91707,369,44337,787,32745,890,97742,314,Mixed,66
75,Bus,Volvo,2020,425497,287,421989,12,418090,26,419446,21,335131,314,326017,346,370879,190,410601,52,402824,79,384227,144,397139,99,383689,146,376318,171,253230,600,390630,122,Mixed,53
76,Bus,Mercedes,2019,709049,395,701841,18,699949,23,688498,52,665186,111,602916,269,700320,22,704468,11,667600,105,697617,29,675747,84,697430,29,621968,220,646283,159,640926,173,Highway,61
77,Truck,Scania,2008,1481991,290,1474562,25,1481839,0,1440917,141,1307999,600,1409406,250,1465142,58,1442363,137,1457673,84,1477334,16,1455377,92,1451248,106,1392748,307,1374921,369,1407788,256,Urban,49
78,Truck,MAN,2003,921860,139,918869,22,912276,68,903561,131,823964,705,870143,373,873858,346,834659,629,862355,430,886875,251,912451,68,852495,499,878334,314,833169,638,897594,173,Highway,34
79,Car,Ford,2002,879623,128,874657,39,873464,48,859910,154,740749,1085,857787,171,832020,371,837865,325,846645,257,876567,25,844208,277,812864,521,786294,730,768187,869,789721,702,Urban,52
80,Truck,Ford,2003,1796138,272,1794430,6,1788413,29,1782629,50,1722513,271,1795312,3,1722911,270,1777121,70,1743900,192,1785430,39,1792611,13,1785337,40,1690784,387,1778006,67,1763314,121,Urban,82
81,Car,Honda,2004,424623,67,421909,40,419010,83,384511,600,248509,2629,323624,1508,368003,844,360505,959,365328,885,378854,683,381296,647,394629,449,397791,402,369334,824,415768,132,Urban,55
82,Car,Toyota,2011,598853,144,590469,59,590202,60,594678,30,438770,1112,516389,574,573072,179,547604,357,573246,177,576705,154,548499,349,580199,130,500644,682,593572,36,521190,538,Highway,85
83,Truck,MAN,2011,774051,185,772752,7,772543,8,741804,175,594840,969,680460,506,719931,292,722279,281,739622,186,767286,37,719758,293,720354,290,656574,636,719457,295,705047,373,Urban,85
84,Truck,Ford,2020,428883,282,422082,24,419212,34,407326,76,416371,44,336117,329,359645,246,413697,54,425737,12,420401,30,422630,22,427861,4,365102,226,402266,94,398307,108,Mixed,69
85,Car,Honda,2008,748485,148,740004,57,746524,13,745015,23,748182,2,698616,337,732306,110,704986,293,733815,99,711067,252,698575,338,706205,285,727288,143,597008,1023,667666,547,Highway,70
86,Car,Ford,2002,1112458,162,1108290,25,1108139,26,1102397,61,940062,1063,1055675,350,1082378,185,1030619,505,1068203,273,1071414,253,1084594,171,1073459,241,994189,730,1098342,87,1053657,362,Urban,67
87,Bus,Scania,2010,1451848,321,1446583,16,1451593,1,1445863,18,1317344,419,1426530,79,1392495,185,1451694,0,1437306,45,1452010,0,1435401,51,1437176,46,1408325,136,1430168,67,1382515,216,Urban,38
88,Bus,Volvo,2011,769420,183,760658,49,768873,3,725743,239,624291,793,690304,432,699840,381,687925,445,757184,67,761877,42,764014,30,761082,45,698272,389,733154,197,698278,389,Mixed,39
89,Truck,Mercedes,2022,219535,257,219022,2,210062,37,200474,74,121052,383,166466,207,140861,306,210173,36,178266,161,207554,46,202493,66,199875,76,174942,173,144793,291,191179,110,Urban,35
90,Truck,Volvo,2025,0,196,0,33,0,45,0,15,0,501,0,58,0,38,0,94,0,180,0,109,0,134,0,193,0,294,0,410,0,39,Highway,32
91,Car,Hyundai,2017,195126,80,191381,48,193377,22,193155,25,147115,597,147299,598,156119,489,152691,531,155326,497,160216,436,151573,544,116067,988,104572,1134,83924,1390,194520,6,Urban,35
92,Car,Toyota,2024,32355,102,30467,19,29063,33,18362,139,7555,243,0,1166,0,695,26309,59,0,328,16983,149,0,424,0,700,14229,178,15083,169,0,799,Highway,55
93,Car,Hyundai,2000,571112,77,566039,68,564035,93,556708,187,537986,430,477048,1223,559855,146,498169,946,568594,34,556616,188,567029,52,550990,262,553491,229,445981,1627,560964,131,Mixed,60
94,Bus,Mercedes,2020,377858,249,368421,38,372054,23,339251,155,365506,49,368298,39,372616,21,329093,196,366633,45,371005,28,336168,167,377738,1,313191,259,303079,300,343982,136,Mixed,80
95,Car,Toyota,2003,724238,110,715523,79,719784,41,706715,159,587713,1241,695657,259,722215,19,690678,304,697836,240,692328,290,708277,144,665517,533,708032,148,705223,173,640746,758,Mixed,78
96,Bus,Mercedes,2025,0,370,0,23,0,1,0,45,0,165,0,14,0,200,0,93,0,130,0,82,0,110,0,98,0,50,0,105,0,125,Mixed,81
97,Truck,Volvo,2000,1986990,265,1983868,12,1984059,11,1945797,155,1907084,302,1899586,330,1937196,188,1979042,30,1962943,91,1967076,75,1927539,224,1956400,115,1914170,275,1937556,187,1906315,304,Mixed,75
98,Truck,Scania,2001,1338248,186,1337149,6,1336336,10,1316368,118,1176721,869,1264438,397,1272221,355,1307361,167,1332731,30,1328433,53,1338243,0,1310187,151,1305073,179,1314334,129,1284618,288,Mixed,79
99,Bus,MAN,2006,1160820,204,1152666,40,1156006,24,1117546,213,1087859,358,1099403,301,1115261,223,1072785,432,1150565,50,1152068,43,1146862,68,1136284,120,1134165,130,1109550,251,1096960,313,Highway,37
100,Truck,Volvo,2020,403546,271,394350,34,396881,24,398474,19,242714,594,292850,409,333457,259,352628,188,350900,194,357132,171,364581,144,339816,235,379998,87,284262,440,373936,109,Urban,57
101,Truck,MAN,2011,436217,102,432069,41,434454,17,428083,80,416376,195,410817,249,370712,643,414909,208,436040,2,391190,443,435547,7,376760,582,412167,236,378049,570,385834,493,Urban,80
102,Car,Hyundai,2002,348391,50,343659,95,341218,143,345417,58,253917,1890,275678,1454,337622,213,315659,656,346970,29,313597,698,310554,757,307709,810,328387,404,285003,1268,297863,1008,Urban,46
103,Truck,MAN,2016,441747,163,432846,54,439973,11,392906,300,342390,609,387718,331,424107,109,353238,544,436531,32,431494,63,438959,17,402533,241,325560,712,272183,1040,425147,102,Mixed,52
104,Bus,MAN,2002,2526638,367,2524376,6,2523372,9,2507804,51,2346918,489,2446957,217,2516653,27,2525957,2,2520724,16,2489127,102,2502824,65,2504779,60,2414747,305,2447121,217,2455815,193,Mixed,32
105,Car,Hyundai,2010,602251,133,596508,44,600170,16,600248,15,565987,272,586448,120,586272,120,550903,385,576642,191,579139,174,590042,91,538194,484,580313,165,500984,761,548485,404,Urban,72
106,Car,Hyundai,2008,537633,105,532673,48,536391,12,494003,414,406901,1246,501336,347,459369,745,498994,369,508868,274,529424,77,537680,0,495748,400,516209,204,425428,1068,500183,356,Urban,68
107,Truck,MAN,2000,2164876,289,2155737,32,2160300,16,2119027,159,2128705,125,2098101,231,2142713,77,2150599,50,2147707,59,2143821,73,2118272,161,2108147,196,2164509,2,2106224,203,2144309,71,Mixed,50
108,Car,Honda,2012,621724,159,621767,1,616648,32,604541,108,452830,1062,574347,298,595776,163,619441,15,591820,188,574982,294,591134,192,557511,405,539096,520,606637,95,553546,430,Urban,45
109,Bus,Mercedes,2012,1247441,320,1244326,10,1246480,3,1233643,43,1181743,205,1133126,357,1224732,71,1222449,78,1211531,112,1226893,64,1201599,143,1200801,146,1150466,303,1098782,465,1194363,166,Urban,49
110,Car,Toyota,2015,423237,144,415313,56,417554,39,398251,173,349512,513,387390,249,372092,354,356490,463,372269,355,398362,173,390653,226,363854,414,359256,444,398703,170,342113,564,Urban,39
111,Car,Honda,2002,1114718,162,1105534,58,1111573,19,1109641,31,976535,853,1102396,76,1072299,262,1079759,215,1083789,192,1065777,301,1078815,222,1072273,261,1096670,111,957834,968,1059388,341,Highway,35
112,Car,Toyota,2022,152532,178,147125,30,150980,10,104374,271,0,928,102596,280,107679,252,120325,181,117722,195,152436,1,121006,177,143381,52,64727,494,0,864,134679,100,Urban,79
113,Bus,MAN,2004,2344157,372,2343871,1,2343887,1,2335533,23,2188547,418,2307959,97,2290598,144,2332234,32,2300252,118,2318416,69,2288960,148,2299124,121,2239354,282,2273413,190,2298138,124,Mixed,53
114,Bus,MAN,2006,1140556,199,1135126,28,1131203,48,1093119,238,1071629,346,1054479,432,1132252,42,1062354,393,1100404,202,1139496,5,1127438,66,1111326,147,1140444,0,1034207,535,1060852,401,Highway,50
115,Car,Ford,2005,717568,120,711500,50,710304,61,671021,388,622546,793,653674,532,671867,381,674736,357,675653,349,703961,114,661212,470,646125,594,697456,167,667521,416,682756,291,Mixed,38
116,Truck,Scania,2008,936910,184,934560,13,935378,9,895059,227,935322,8,827906,592,928474,46,933006,21,898438,209,894547,231,878283,318,922160,80,914552,122,872967,348,901505,194,Mixed,72
117,Truck,Volvo,2021,282269,236,276889,23,278252,17,267785,61,125569,665,181590,427,226029,238,271070,48,227981,230,256986,107,239558,181,227856,230,206834,319,190259,390,281471,3,Highway,68
118,Truck,MAN,2019,304349,168,296408,46,299658,28,260845,259,286277,108,251889,313,247390,339,302039,14,268002,217,289594,88,279304,149,226573,463,273322,185,161383,851,289094,91,Mixed,34
119,Bus,Scania,2002,1162217,168,1158389,23,1154767,45,1129267,196,1071178,542,1068111,560,1130625,188,1095764,395,1161631,4,1149781,73,1115830,276,1111774,301,1075458,517,1060595,606,1150425,70,Mixed,72
120,Car,Ford,2018,159909,73,152572,101,154610,73,130326,405,125003,476,66017,1285,107875,713,90657,949,103787,771,146026,191,141647,251,126612,457,98519,841,0,2249,107158,722,Mixed,59
121,Truck,Volvo,2019,456008,256,454705,5,452060,16,438476,68,297269,620,426714,114,430250,100,429489,104,428081,109,448360,30,422322,132,398174,226,437019,74,444822,44,385447,276,Highway,49
122,Bus,Volvo,2009,1735593,361,1731622,11,1730124,15,1697117,107,1693971,115,1660925,207,1682421,147,1726139,26,1689714,127,1689233,128,1679934,154,1697928,104,1723380,34,1624734,307,1692671,119,Highway,78
123,Car,BMW,2024,28700,89,22723,68,27813,11,25708,34,0,1422,10495,204,0,707,0,922,0,519,12140,185,5561,260,8185,230,0,894,0,786,0,905,Mixed,52
124,Truck,Scania,2005,1774958,297,1767758,25,1774540,1,1769232,19,1667333,362,1735304,133,1734324,137,1725691,166,1762383,42,1733119,141,1726799,162,1742414,110,1718943,188,1642840,445,1750658,82,Urban,63
125,Truck,Scania,2004,1103205,175,1094234,51,1093582,55,1067753,202,945005,903,1007905,544,1045927,328,1046645,323,1067290,204,1100031,18,1066337,211,1085180,103,1029750,421,1071360,182,1081785,123,Highway,54
126,Car,Ford,2021,94347,84,89559,57,86506,94,52588,497,27897,792,0,1290,34989,706,68087,313,73743,245,90715,41,92063,28,50195,525,83421,130,0,1611,74175,240,Urban,40
127,Car,BMW,2013,415641,114,405774,86,411869,33,383059,287,406785,78,365428,441,398797,147,411627,34,395809,174,370756,394,360807,482,365027,444,305067,971,371550,387,343675,631,Mixed,61
128,Car,Honda,2012,254103,66,248087,88,247878,96,226095,423,122268,1998,206176,728,225147,439,214255,605,248197,92,252541,24,225352,436,177826,1157,151750,1548,188829,989,167874,1304,Highway,33
129,Car,BMW,2023,57275,88,51793,62,50560,79,13516,496,39407,203,0,1358,48910,95,26611,349,26023,356,12860,507,7600,565,39057,206,0,676,0,726,47920,106,Urban,80
130,Truck,Scania,2000,1783416,238,1779538,16,1782715,3,1770811,53,1650623,559,1767748,66,1752274,131,1697819,359,1733540,210,1768135,64,1734133,207,1760607,96,1725798,243,1781207,9,1736233,199,Mixed,81
131,Car,Ford,2020,169586,117,163940,48,167589,17,120839,417,112086,491,91171,670,158360,96,106265,541,168293,10,153829,136,116413,454,140119,252,96203,627,98055,611,129407,343,Highway,78
132,Bus,Volvo,2021,251519,212,243080,40,243761,37,248444,15,218510,156,215116,172,223221,133,245030,31,233557,86,231658,94,194318,270,235241,76,151040,475,123145,605,196513,259,Highway,64
133,Truck,Mercedes,2024,46925,175,43368,20,46151,4,42097,28,0,1012,0,600,19214,159,0,398,20552,151,42333,26,34329,72,28718,104,8983,217,0,822,3580,249,Urban,66
134,Car,Honda,2020,133825,92,130312,38,128331,60,92406,448,0,1527,78463,602,79015,598,113482,222,100246,365,111471,242,119861,153,125868,86,28785,1141,0,1575,64720,751,Mixed,32
135,Bus,Scania,2015,997228,335,992364,15,993005,13,972181,75,902865,282,881122,347,963649,100,982914,43,971306,78,953766,130,966129,93,923848,219,900343,289,982827,43,908019,266,Highway,30
